time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1657652400,2022.07.12 19:00:00,136.672,136.749,136.651,136.678,3424,11,0
1657656000,2022.07.12 20:00:00,136.678,136.786,136.662,136.748,3731,11,0
1657659600,2022.07.12 21:00:00,136.748,136.79,136.727,136.751,2676,11,0
1657663200,2022.07.12 22:00:00,136.75,136.828,136.737,136.8,3838,11,0
1657666800,2022.07.12 23:00:00,136.801,136.868,136.794,136.838,1865,11,0
1657670400,2022.07.13 00:00:00,136.838,136.857,136.705,136.797,280,14,0
1657674000,2022.07.13 01:00:00,136.808,136.888,136.79,136.853,4090,11,0
1657677600,2022.07.13 02:00:00,136.853,136.902,136.686,136.73,3862,11,0
1657681200,2022.07.13 03:00:00,136.731,137.042,136.683,136.925,10077,11,0
1657684800,2022.07.13 04:00:00,136.925,137.251,136.922,137.136,7957,11,0
1657688400,2022.07.13 05:00:00,137.136,137.198,137.058,137.071,6270,11,0
1657692000,2022.07.13 06:00:00,137.071,137.175,136.995,137.121,5612,11,0
1657695600,2022.07.13 07:00:00,137.12,137.16,136.988,137.041,3840,11,0
1657699200,2022.07.13 08:00:00,137.041,137.066,136.933,137.004,5292,11,0
1657702800,2022.07.13 09:00:00,137.004,137.208,136.926,137.2,8298,11,0
1657706400,2022.07.13 10:00:00,137.2,137.246,137.027,137.032,12881,11,0
1657710000,2022.07.13 11:00:00,137.032,137.167,137.027,137.154,11005,11,0
1657713600,2022.07.13 12:00:00,137.154,137.196,137.051,137.081,3596,11,0
1657717200,2022.07.13 13:00:00,137.081,137.145,136.973,137.011,4854,11,0
1657720800,2022.07.13 14:00:00,137.011,137.123,137.011,137.037,3889,11,0
1657724400,2022.07.13 15:00:00,137.037,137.717,136.904,137.579,37013,11,0
1657728000,2022.07.13 16:00:00,137.579,137.668,137.399,137.613,23845,11,0
1657731600,2022.07.13 17:00:00,137.613,137.862,137.09,137.143,35364,11,0
1657735200,2022.07.13 18:00:00,137.143,137.387,137.137,137.346,14270,11,0
1657738800,2022.07.13 19:00:00,137.344,137.39,137.115,137.215,7355,11,0
1657742400,2022.07.13 20:00:00,137.215,137.264,137.112,137.207,8790,11,0
1657746000,2022.07.13 21:00:00,137.207,137.344,137.147,137.32,17151,11,0
1657749600,2022.07.13 22:00:00,137.319,137.359,137.287,137.302,6156,11,0
1657753200,2022.07.13 23:00:00,137.302,137.436,137.242,137.247,2568,11,0
1657756800,2022.07.14 00:00:00,137.234,137.429,137.234,137.393,3779,14,0
1657760400,2022.07.14 01:00:00,137.404,137.445,137.319,137.424,4303,11,0
1657764000,2022.07.14 02:00:00,137.423,137.646,137.405,137.624,5517,11,0
1657767600,2022.07.14 03:00:00,137.624,137.962,137.583,137.91,15065,11,0
1657771200,2022.07.14 04:00:00,137.91,138.009,137.825,137.894,16046,11,0
1657774800,2022.07.14 05:00:00,137.894,138.121,137.755,138.012,12831,11,0
1657778400,2022.07.14 06:00:00,138.012,138.061,137.91,138.013,8456,11,0
1657782000,2022.07.14 07:00:00,138.013,138.279,137.988,138.232,8599,11,0
1657785600,2022.07.14 08:00:00,138.232,138.474,138.227,138.416,8872,11,0
1657789200,2022.07.14 09:00:00,138.416,138.783,138.381,138.764,11162,11,0
1657792800,2022.07.14 10:00:00,138.764,139.17,138.703,139.093,18816,11,0
1657796400,2022.07.14 11:00:00,139.093,139.384,138.966,139.071,15368,11,0
1657800000,2022.07.14 12:00:00,139.071,139.074,138.585,138.841,18508,11,0
1657803600,2022.07.14 13:00:00,138.841,139.081,138.725,139.058,10725,11,0
