time_epoch,time,role,total_matured_observations,experts_at_256_maturity,current_valid_experts_with_score,current_positive_experts,selected_expert,selected_score_R,slot_available,accepted,rejection,settled_actual_balance_usd
1704217500,2024-01-02T17:45:00,ONLINE_HL32,944744,30,30,6,US30_H4_MOMENTUM,0.19479300332979854,1,1,,91.21828124999897
1704217500,2024-01-02T17:45:00,ONLINE_HL96,944744,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704217500,2024-01-02T17:45:00,ONLINE_HL256,944744,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704218400,2024-01-02T18:00:00,ONLINE_HL32,944772,30,30,2,,,0,0,GLOBAL_SLOT_OCCUPIED,91.21828124999897
1704218400,2024-01-02T18:00:00,ONLINE_HL96,944772,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704218400,2024-01-02T18:00:00,ONLINE_HL256,944772,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704219300,2024-01-02T18:15:00,ONLINE_HL32,944802,30,26,4,US30_H4_MOMENTUM,0.14280873398071667,1,1,,89.65953124999882
1704219300,2024-01-02T18:15:00,ONLINE_HL96,944802,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704219300,2024-01-02T18:15:00,ONLINE_HL256,944802,30,26,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704220200,2024-01-02T18:30:00,ONLINE_HL32,944832,30,30,5,,,0,0,GLOBAL_SLOT_OCCUPIED,89.65953124999882
1704220200,2024-01-02T18:30:00,ONLINE_HL96,944832,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704220200,2024-01-02T18:30:00,ONLINE_HL256,944832,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704221100,2024-01-02T18:45:00,ONLINE_HL32,944862,30,30,5,,,0,0,GLOBAL_SLOT_OCCUPIED,89.65953124999882
1704221100,2024-01-02T18:45:00,ONLINE_HL96,944862,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704221100,2024-01-02T18:45:00,ONLINE_HL256,944862,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704222000,2024-01-02T19:00:00,ONLINE_HL32,944892,30,30,5,US30_H4_MOMENTUM,0.1201890911221795,1,1,,91.98054687499875
1704222000,2024-01-02T19:00:00,ONLINE_HL96,944892,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704222000,2024-01-02T19:00:00,ONLINE_HL256,944892,30,30,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
1704222900,2024-01-02T19:15:00,ONLINE_HL32,944918,30,28,3,,,0,0,GLOBAL_SLOT_OCCUPIED,91.98054687499875
1704222900,2024-01-02T19:15:00,ONLINE_HL96,944918,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,96.76364062500001
1704222900,2024-01-02T19:15:00,ONLINE_HL256,944918,30,28,0,,,1,0,NO_POSITIVE_CURRENT_EXPERT,100.0
